gene_accession,cipdic20_S3,cipdic20_S2,cipdic20_S1
MEG_2725|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRB,4804.0,5901.0,3561.0
MEG_2732|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRK,3288.0,5368.0,3378.0
MEG_3081|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADW,3348.0,4638.0,874.0
MEG_6020|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,664.0,171.0,83.0
MEG_7583|Drugs|Glycopeptides|VanC-type_resistance_protein|VANXYC,0.0,0.0,1033.0
MEG_2209|Drugs|betalactams|Class_A_betalactamases|CTX,0.0,22.0,0.0
MEG_2365|Drugs|betalactams|Class_A_betalactamases|CTX,0.0,23.0,0.0
MEG_2448|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSC,3257.0,4730.0,3110.0
MEG_8708|Drugs|betalactams|Class_A_betalactamases|TEM,40.0,29.0,0.0
MEG_1355|Drugs|betalactams|Class_A_betalactamases|BLAZ,0.0,29.0,22.0
MEG_7502|Drugs|Glycopeptides|VanC-type_regulator|VANSC,0.0,0.0,541.0
MEG_7110|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0.0,0.0,178.0
MEG_4289|Drugs|betalactams|Mutant_porin_proteins|OMPFB|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_5780|Drugs|Lipopeptides|Daptomycin-resistant_mutant|PGSA|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_2497|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,232.0,0.0,0.0
MEG_2870|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS,12522.0,19958.0,14662.0
MEG_904|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,122.0,0.0
MEG_401|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB,20514.0,24078.0,15459.0
MEG_6793|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,15.0,0.0
MEG_4333|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA,402.0,98.0,16.0
MEG_6604|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,231.0,42.0,0.0
MEG_7831|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YGIW,2634.0,3599.0,2433.0
MEG_963|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,95.0,26.0,46.0
MEG_2164|Drugs|betalactams|Class_A_betalactamases|CTX,0.0,19.0,0.0
MEG_7124|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,175.0,0.0,93.0
MEG_2931|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,208.0,0.0,0.0
MEG_2964|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,636.0,125.0,15.0
MEG_6900|Drugs|betalactams|Class_A_betalactamases|TEM,282.0,188.0,0.0
MEG_2914|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,157.0,0.0,0.0
MEG_8284|Drugs|betalactams|Class_A_betalactamases|OKP,59.0,0.0,0.0
MEG_6351|Drugs|betalactams|Class_A_betalactamases|SHV,12.0,6.0,0.0
MEG_3290|Biocides|Acetate_resistance|Acetate_resistance_protein|ICLR,2457.0,2849.0,1816.0
MEG_6131|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_3597|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|LMRD,226.0,293.0,0.0
MEG_4164|Metals|Sodium_resistance|Sodium_resistance_protein|NHAB,4573.0,6736.0,4267.0
MEG_1348|Drugs|betalactams|Class_A_betalactamases|BLAZ,0.0,15.0,0.0
MEG_4167|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKA,8042.0,12087.0,8159.0
MEG_7858|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUB,3415.0,5057.0,3492.0
MEG_1486|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CADD,63.0,3000.0,3521.0
MEG_415|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRS,2831.0,5571.0,3815.0
MEG_799|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,47.0,0.0,0.0
MEG_2675|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,145.0,190.0,131.0
MEG_1164|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSCM,1660.0,1801.0,1206.0
MEG_2896|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FECE,1427.0,3366.0,2437.0
MEG_1696|Drugs|betalactams|Class_A_betalactamases|CFX,23.0,15.0,0.0
MEG_2539|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0.0,94.0,0.0
MEG_1041|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,199.0,55.0,17.0
MEG_4286|Drugs|Multi-drug_resistance|MDR_mutant_porin_proteins|OMPF|RequiresSNPConfirmation,865.0,441.0,47.0
MEG_866|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,215.0,0.0,0.0
MEG_2499|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,286.0,15.0,0.0
MEG_3460|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|KMRA,5519.0,1692.0,314.0
MEG_409|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRF,5822.0,11271.0,7740.0
MEG_1053|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,208.0,669.0,0.0
MEG_5817|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTS,2782.0,2997.0,1832.0
MEG_6727|Drugs|betalactams|Class_A_betalactamases|TEM,40.0,0.0,0.0
MEG_4173|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKE,4122.0,5564.0,3709.0
MEG_6028|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,467.0,133.0,61.0
MEG_6844|Drugs|betalactams|Class_A_betalactamases|TEM,17.0,0.0,0.0
MEG_64|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,0.0,909.0,13.0
MEG_7132|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,481.0,0.0,164.0
MEG_2959|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_7363|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC,0.0,0.0,76.0
MEG_6607|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,178.0,33.0,0.0
MEG_827|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,40.0,0.0
MEG_3619|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUF,3154.0,0.0,0.0
MEG_6169|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,22.0,0.0,0.0
MEG_2951|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,0.0,0.0,13.0
MEG_6958|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERD,48.0,18.0,93.0
MEG_2453|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CUSS,8652.0,10737.0,7197.0
MEG_4325|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA,724.0,86.0,0.0
MEG_6421|Drugs|betalactams|Class_A_betalactamases|SHV,12.0,0.0,0.0
MEG_6664|Drugs|betalactams|Class_A_betalactamases|TEM,34.0,28.0,0.0
MEG_1701|Metals|Sodium_resistance|Sodium_resistance_protein|CHAA,6213.0,8188.0,5164.0
MEG_2119|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,2106.0,2245.0,1429.0
MEG_3077|Biocides|Acid_resistance|Acid_resistance_protein|GADA,279.0,428.0,89.0
MEG_407|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD,7372.0,10138.0,6399.0
MEG_7818|Biocides|Peroxide_resistance|peroxide_resistance_protein|YDEI,2028.0,2950.0,1879.0
MEG_2348|Drugs|betalactams|Class_A_betalactamases|CTX,0.0,43.0,0.0
MEG_8072|Drugs|betalactams|Class_C_betalactamases|DHA,30.0,57.0,0.0
MEG_2536|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0.0,90.0,0.0
MEG_848|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,37.0,28.0,0.0
MEG_3067|Drugs|Fusidic_acid|Ribosomal_zinc-binding_protein|FUSB,0.0,158.0,109.0
MEG_3998|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|MNTH,6634.0,9504.0,6112.0
MEG_2701|Biocides|Acid_resistance|Acid_resistance_protein|EEFA,5743.0,1650.0,299.0
MEG_3286|Drugs|Multi-drug_resistance|MDR_acetyltransferase|IBCR,0.0,160.0,0.0
MEG_2677|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,132.0,211.0,124.0
MEG_3212|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0.0,62.0,0.0
MEG_395|Drugs|betalactams|Class_A_betalactamases|ACI,0.0,332.0,0.0
MEG_6082|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ROBA,4342.0,6583.0,4622.0
MEG_1365|Drugs|betalactams|Class_A_betalactamases|BLAZ,0.0,238.0,249.0
MEG_6106|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,14.0,26.0,46.0
MEG_6896|Drugs|betalactams|Class_A_betalactamases|TEM,56.0,41.0,0.0
MEG_3756|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MDTI,1777.0,2520.0,1700.0
MEG_769|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,40.0,0.0,0.0
MEG_4356|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,206.0,0.0,0.0
MEG_6773|Drugs|betalactams|Class_A_betalactamases|TEM,29.0,25.0,0.0
MEG_6683|Drugs|betalactams|Class_A_betalactamases|TEM,22.0,0.0,0.0
MEG_6949|Drugs|betalactams|Class_A_betalactamases|TEM,33.0,0.0,0.0
MEG_2532|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0.0,108.0,0.0
MEG_874|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,124.0,19.0,0.0
MEG_703|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ADER,165.0,0.0,68.0
MEG_2303|Drugs|betalactams|Class_A_betalactamases|CTX,0.0,23.0,0.0
MEG_2685|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,163.0,208.0,145.0
MEG_7028|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,805.0,305.0,110.0
MEG_6803|Drugs|betalactams|Class_A_betalactamases|TEM,23.0,0.0,0.0
MEG_1189|Drugs|Bacitracin|Undecaprenyl_pyrophosphate_phosphatase|BACA,2662.0,2721.0,1566.0
MEG_7178|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,148.0,103.0,82.0
MEG_8712|Drugs|betalactams|Class_A_betalactamases|TEM,48.0,40.0,0.0
MEG_3833|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|MEPA,0.0,184.0,362.0
MEG_7015|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,1109.0,464.0,124.0
MEG_2493|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,290.0,0.0,0.0
MEG_5245|Drugs|betalactams|Class_D_betalactamases|OXA,15.0,0.0,0.0
MEG_5786|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_regulator|PHOR,5969.0,3820.0,1644.0
MEG_6653|Metals|Copper_resistance|Copper_resistance_protein|TCRY,0.0,659.0,240.0
MEG_915|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,384.0,113.0,106.0
MEG_6601|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,205.0,30.0,0.0
MEG_3627|Drugs|Lipopeptides|Colistin-resistant_mutant|LPXC|RequiresSNPConfirmation,1.0,0.0,2.0
MEG_2198|Drugs|betalactams|Class_A_betalactamases|CTX,0.0,24.0,0.0
MEG_6932|Drugs|betalactams|Class_A_betalactamases|TEM,149.0,77.0,0.0
MEG_1408|Drugs|betalactams|Class_A_betalactamases|BLAZ,0.0,580.0,0.0
MEG_2585|Drugs|betalactams|Class_C_betalactamases|DHA,41.0,85.0,0.0
MEG_2456|Metals|Copper_resistance|Copper_resistance_protein|CUTC,2395.0,3761.0,2310.0
MEG_3745|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTA,0.0,0.0,27.0
MEG_3865|Metals|Mercury_resistance|Mercury_resistance_regulator|MERD,0.0,58.0,0.0
MEG_4171|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKD,3932.0,5348.0,3548.0
MEG_6831|Drugs|betalactams|Class_A_betalactamases|TEM,57.0,35.0,0.0
MEG_1278|Drugs|betalactams|Class_C_betalactamases|BLAEC,784.0,520.0,367.0
MEG_6030|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,460.0,134.0,49.0
MEG_7038|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,0.0,82.0,0.0
MEG_6147|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSH|RequiresSNPConfirmation,3.0,1.0,0.0
MEG_5813|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTA,6106.0,8676.0,5477.0
MEG_691|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEI,43.0,0.0,14.0
MEG_986|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,18.0,0.0,0.0
MEG_2952|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,3947.0,1136.0,221.0
MEG_1026|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,31.0,0.0,0.0
MEG_3759|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|MDTK,4207.0,5717.0,3425.0
MEG_3288|Biocides|Peroxide_resistance|Peroxide_resistance_stress_protein|IBPB,1031.0,1495.0,950.0
MEG_2500|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,318.0,25.0,25.0
MEG_6905|Drugs|betalactams|Class_A_betalactamases|TEM,51.0,0.0,0.0
MEG_4012|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODC,3704.0,5701.0,3806.0
MEG_2118|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,1243.0,1530.0,921.0
MEG_3068|Drugs|Fusidic_acid|Ribosomal_zinc-binding_protein|FUSC,0.0,67.0,49.0
MEG_4005|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODB,821.0,1160.0,814.0
MEG_7330|Drugs|Fosfomycin|Fosfomycin_target_mutation|UHPT|RequiresSNPConfirmation,273.0,15.0,5.0
MEG_2995|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,682.0,90.0,19.0
MEG_908|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,148.0,0.0
MEG_6549|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|SOXRB,1543.0,2648.0,1835.0
MEG_4353|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,313.0,0.0,0.0
MEG_886|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,14.0,0.0,0.0
MEG_1695|Drugs|betalactams|Class_A_betalactamases|CFX,0.0,63.0,0.0
MEG_3295|Drugs|Mupirocin|Mupirocin-resistant_isoleucyl-tRNA_synthetase|ILES,0.0,0.0,2235.0
MEG_3746|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTA,6880.0,9020.0,6357.0
MEG_333|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0.0,205.0,0.0
MEG_6742|Drugs|betalactams|Class_A_betalactamases|TEM,50.0,16.0,0.0
MEG_1107|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|ARIR,1659.0,2515.0,1598.0
MEG_1182|Biocides|Acid_resistance|Acid_resistance_protein|ASR,669.0,718.0,469.0
MEG_2192|Drugs|betalactams|Class_A_betalactamases|CTX,0.0,44.0,0.0
MEG_6274|Drugs|betalactams|Class_A_betalactamases|SHV,0.0,60.0,0.0
MEG_5823|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|QACAB,0.0,151.0,106.0
MEG_7108|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0.0,0.0,77.0
MEG_859|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,200.0,0.0,0.0
MEG_6013|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRD,0.0,289.0,33.0
MEG_983|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME,0.0,102.0,0.0
MEG_400|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRA,4528.0,1469.0,246.0
MEG_2116|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,3193.0,843.0,172.0
MEG_1029|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,143.0,0.0,0.0
MEG_6951|Drugs|betalactams|Class_A_betalactamases|TEM,47.0,45.0,0.0
MEG_6821|Drugs|betalactams|Class_A_betalactamases|TEM,18.0,17.0,0.0
MEG_3887|Metals|Mercury_resistance|Mercury_resistance_regulator|MERR2,1097.0,0.0,0.0
MEG_7853|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ZNTA,14490.0,19898.0,13192.0
MEG_2529|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,287.0,0.0,0.0
MEG_4348|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,389.0,0.0,0.0
MEG_3083|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADX,4160.0,5524.0,1154.0
MEG_2805|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,10.0,0.0,21.0
MEG_2206|Drugs|betalactams|Class_A_betalactamases|CTX,0.0,10.0,0.0
MEG_4365|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,277.0,0.0,0.0
MEG_7306|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_6697|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,16.0,0.0
MEG_5332|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,14.0,67.0,1.0
MEG_6603|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,196.0,0.0,0.0
MEG_2084|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORA,2178.0,854.0,178.0
MEG_3645|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|LSA,54.0,44.0,83.0
MEG_4204|Biocides|Paraquat_resistance|Paraquat_resistance_protein|NMPC,0.0,0.0,304.0
MEG_1162|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSCM,332.0,754.0,143.0
MEG_4343|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,812.0,107.0,0.0
MEG_837|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,163.0,0.0,0.0
MEG_4285|Drugs|betalactams|Mutant_porin_proteins|OMPD,2491.0,181.0,151.0
MEG_1546|Drugs|betalactams|Class_A_betalactamases|CARB,2125.0,0.0,0.0
MEG_2579|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRG,133.0,0.0,0.0
MEG_1192|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAER,4492.0,5856.0,3606.0
MEG_1086|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,700.0,1026.0,10.0
MEG_2501|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,281.0,19.0,20.0
MEG_804|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,31.0,0.0,0.0
MEG_953|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,86.0,0.0
MEG_8080|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|EPTB,8887.0,5424.0,2686.0
MEG_3747|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTB,18555.0,23486.0,14597.0
MEG_2162|Drugs|betalactams|Class_A_betalactamases|CTX,0.0,22.0,0.0
MEG_3253|Biocides|Acid_resistance|Acid_resistance_protein|HDEA,1835.0,3009.0,2124.0
MEG_5373|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,600.0,763.0,642.0
MEG_6044|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|RAMA,47.0,9.0,0.0
MEG_6895|Drugs|betalactams|Class_A_betalactamases|TEM,73.0,43.0,0.0
MEG_3738|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDFA,1792.0,3143.0,1931.0
MEG_6796|Drugs|betalactams|Class_A_betalactamases|TEM,32.0,16.0,0.0
MEG_5346|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,235.0,0.0,0.0
MEG_838|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,143.0,0.0,0.0
MEG_1180|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|ASMA,8310.0,11120.0,8252.0
MEG_4223|Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|O23S|RequiresSNPConfirmation,0.0,0.0,1.0
