gene_accession,cipmet10_S1,cipmet10_S3,cipmet10_S2
MEG_1173|Metals|Arsenic_resistance|Arsenic_resistance_regulator|ARSR,2082.0,2501.0,1980.0
MEG_4357|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,194.0,0.0,0.0
MEG_5829|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACEDELTA1,181.0,0.0,6.0
MEG_3200|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_4005|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODB,797.0,1077.0,910.0
MEG_8290|Drugs|betalactams|Mutant_porin_proteins|OMPK36|RequiresSNPConfirmation,1696.0,1412.0,1229.0
MEG_3763|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTN,6510.0,7868.0,6605.0
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,1.0,1.0,1.0
MEG_848|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,43.0,28.0
MEG_7319|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,15.0,23.0,7.0
MEG_3587|Drugs|Lipopeptides|Daptomycin-resistant_mutant|LIAFSR|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_2848|Drugs|MLS|23S_rRNA_methyltransferases|ERMT,0.0,0.0,568.0
MEG_2949|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,12.0,19.0,0.0
MEG_786|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,22.0,0.0
MEG_4350|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,244.0,0.0,49.0
MEG_3947|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|MGTA,6588.0,7447.0,6149.0
MEG_6126|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0.0,2.0,1.0
MEG_3832|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|MEPA,216.0,232.0,37.0
MEG_4327|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA,185.0,16.0,43.0
MEG_3893|Metals|Mercury_resistance|Mercury_resistance_protein|MERT,460.0,0.0,43.0
MEG_4171|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKD,3779.0,4410.0,3645.0
MEG_951|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,69.0,117.0,23.0
MEG_1211|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR,1022.0,1093.0,979.0
MEG_3863|Metals|Mercury_resistance|Mercury_resistance_regulator|MERD,82.0,62.0,20.0
MEG_3747|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTB,17529.0,18688.0,15705.0
MEG_3271|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|HNS,2891.0,2830.0,2318.0
MEG_2732|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRK,3327.0,4120.0,3334.0
MEG_1365|Drugs|betalactams|Class_A_betalactamases|BLAZ,44.0,0.0,0.0
MEG_1166|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSDM,995.0,277.0,57.0
MEG_6710|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,13.0
MEG_400|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRA,2923.0,359.0,442.0
MEG_8145|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,580.0,391.0,247.0
MEG_4355|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,1764.0,0.0,95.0
MEG_8150|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRB|RequiresSNPConfirmation,265.0,0.0,0.0
MEG_6548|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_regulator|SOXR|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_1061|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,88.0,0.0,0.0
MEG_3831|Drugs|Lipopeptides|Lysocin-resistant_mutant|MENA|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_6982|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET38,94.0,89.0,24.0
MEG_5819|Drugs|Fosfomycin|Fosfomycin_target_mutation|PTSL|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_5398|Drugs|Fluoroquinolones|Fluoroquinolone_ABC_efflux_pump|PATB,0.0,0.0,748.0
MEG_3862|Metals|Mercury_resistance|Mercury_resistance_regulator|MERD,288.0,44.0,41.0
MEG_7128|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0.0,0.0,111.0
MEG_1732|Drugs|Lipopeptides|Daptomycin-resistant_mutant|CLS|RequiresSNPConfirmation,0.0,1.0,0.0
MEG_3764|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTO,10240.0,12832.0,10723.0
MEG_6621|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,55.0,283.0,444.0
MEG_6504|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILF,607.0,462.0,291.0
MEG_7038|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,48.0,22.0,0.0
MEG_5896|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,1420.0,72.0,486.0
MEG_3611|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUC,93.0,113.0,0.0
MEG_1366|Drugs|betalactams|Class_A_betalactamases|BLAZ,24.0,7.0,0.0
MEG_1692|Drugs|betalactams|Class_A_betalactamases|CFX,27.0,12.0,26.0
MEG_7068|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETD,31.0,25.0,0.0
MEG_6113|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,2385.0,4434.0,892.0
MEG_966|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,18.0,0.0,0.0
MEG_986|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,22.0,0.0,0.0
MEG_4332|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA,165.0,0.0,0.0
MEG_5830|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACEDELTA1,125.0,4.0,4.0
MEG_2495|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,25.0,101.0,65.0
MEG_3948|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|MGTA,9380.0,9614.0,7812.0
MEG_1115|Drugs|Multi-drug_resistance|MDR_regulator|ARLR,91.0,129.0,27.0
MEG_6044|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|RAMA,44.0,0.0,0.0
MEG_4004|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODB,1239.0,1515.0,1325.0
MEG_2089|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORC,1004.0,783.0,764.0
MEG_6030|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,47.0,183.0,172.0
MEG_6752|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,7.0
MEG_2955|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,2.0,4.0,3.0
MEG_2694|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|EATAV|RequiresSNPConfirmation,26.0,10.0,0.0
MEG_2896|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FECE,2691.0,488.0,1495.0
MEG_7812|Metals|Iron_resistance|Iron_resistance_protein|YBTQ,2108.0,6507.0,8630.0
MEG_3535|Drugs|betalactams|Class_A_betalactamases|LAP,0.0,39.0,0.0
MEG_6023|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,77.0,1010.0,1201.0
MEG_6107|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_3873|Metals|Mercury_resistance|Mercury_resistance_protein|MERP,359.0,0.0,33.0
MEG_2831|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,8.0,14.0,14.0
MEG_6581|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,43.0,0.0,0.0
MEG_415|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRS,3193.0,4635.0,3807.0
MEG_3622|Biocides|Acetate_resistance|Acetate_resistance_protein|LPDT,12075.0,14430.0,11153.0
MEG_6031|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,63.0,188.0,230.0
MEG_2722|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRA,4207.0,5244.0,4458.0
MEG_6691|Drugs|betalactams|Class_A_betalactamases|TEM,19.0,0.0,0.0
MEG_3447|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|KDEA,2861.0,323.0,438.0
MEG_5816|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTS,4420.0,4413.0,3583.0
MEG_2494|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0.0,88.0,81.0
MEG_4366|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,150.0,0.0,0.0
MEG_706|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADET2,31.0,0.0,13.0
MEG_6619|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,23.0,147.0,220.0
MEG_1019|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,848.0,295.0,1182.0
MEG_64|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,215.0,0.0,0.0
MEG_1161|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSCM,1122.0,452.0,540.0
MEG_7117|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0.0,0.0,145.0
MEG_3645|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|LSA,33.0,0.0,0.0
MEG_3736|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDFA,1339.0,1735.0,1421.0
MEG_8287|Drugs|betalactams|Mutant_porin_proteins|OMP36|RequiresSNPConfirmation,537.0,390.0,0.0
MEG_6795|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,20.0
MEG_6167|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,95.0,125.0,0.0
MEG_1085|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,501.0,126.0,312.0
MEG_3746|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTA,6542.0,7927.0,5956.0
MEG_7052|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,118.0,33.0,0.0
MEG_3842|Metals|Mercury_resistance|Mercury_resistance_protein|MERA,2759.0,0.0,1554.0
MEG_6601|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,38.0,0.0,0.0
MEG_2090|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORC,1998.0,1826.0,1475.0
MEG_6960|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERW,7.0,0.0,0.0
MEG_3830|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFE,84.0,106.0,101.0
MEG_7043|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,63.0,0.0,0.0
MEG_5780|Drugs|Lipopeptides|Daptomycin-resistant_mutant|PGSA|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_6900|Drugs|betalactams|Class_A_betalactamases|TEM,102.0,0.0,74.0
MEG_6597|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,34.0,0.0,0.0
MEG_7051|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,35.0,0.0,0.0
MEG_2875|Biocides|Phenolic_compound_resistance|Phenolic_resistance_protein|FABI,4480.0,5162.0,4400.0
MEG_6166|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,16.0,0.0,0.0
MEG_2706|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_pumps|EFRA,106.0,0.0,0.0
MEG_794|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,83.0,65.0
MEG_729|Drugs|betalactams|Penicillin_binding_protein|AMPH,5765.0,6983.0,5865.0
MEG_5334|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,6.0,3.0,0.0
MEG_7884|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRR|RequiresSNPConfirmation,371.0,0.0,66.0
MEG_6582|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,39.0,209.0,318.0
MEG_4095|Drugs|Fosfomycin|Fosfomycin_target_mutation|MURA|RequiresSNPConfirmation,0.0,0.0,1.0
MEG_4359|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,112.0,0.0,0.0
MEG_1055|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,159.0,78.0,380.0
MEG_5367|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_6584|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,36.0,0.0,0.0
MEG_5387|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_1278|Drugs|betalactams|Class_C_betalactamases|BLAEC,263.0,1633.0,1378.0
MEG_1693|Drugs|betalactams|Class_A_betalactamases|CFX,33.0,0.0,17.0
MEG_8072|Drugs|betalactams|Class_C_betalactamases|DHA,34.0,0.0,0.0
MEG_6867|Drugs|betalactams|Class_A_betalactamases|TEM,1121.0,254.0,0.0
MEG_3752|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTF,14050.0,18424.0,14867.0
MEG_408|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRE,5189.0,7223.0,6048.0
MEG_6400|Drugs|betalactams|Class_A_betalactamases|SHV,14.0,0.0,0.0
MEG_952|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,47.0,0.0,0.0
MEG_2951|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_7317|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,574.0,110.0,256.0
MEG_6110|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,1.0,1.0,0.0
MEG_2493|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,25.0,67.0,0.0
MEG_5394|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PAREF|RequiresSNPConfirmation,20.0,14.0,15.0
MEG_4009|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODC,1879.0,2106.0,1825.0
MEG_7110|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0.0,0.0,81.0
MEG_6630|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,41.0,204.0,392.0
MEG_2874|Biocides|Phenolic_compound_resistance|Phenolic_resistance_protein|FABI,77.0,82.0,0.0
MEG_7883|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB|RequiresSNPConfirmation,3690.0,788.0,581.0
MEG_4061|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|MSBA,8432.0,10316.0,8839.0
MEG_6594|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,35.0,0.0,0.0
MEG_6971|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET32,0.0,0.0,6446.0
MEG_2734|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EMRR,3230.0,3702.0,3222.0
MEG_4289|Drugs|betalactams|Mutant_porin_proteins|OMPFB|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_3227|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,1.0,0.0,0.0
MEG_6145|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSA|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_7070|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETD,373.0,177.0,60.0
MEG_6611|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,23.0,0.0,0.0
MEG_5327|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_2597|Drugs|betalactams|Class_C_betalactamases|DHA,36.0,0.0,0.0
MEG_3212|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,1.0,0.0,1.0
MEG_988|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,68.0,0.0,27.0
MEG_6713|Drugs|betalactams|Class_A_betalactamases|TEM,14.0,0.0,0.0
MEG_1992|Drugs|betalactams|Class_C_betalactamases|CMY,93.0,54.0,0.0
MEG_1044|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,168.0,27.0,0.0
MEG_929|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,9.0,0.0,0.0
MEG_7362|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC,0.0,0.0,107.0
MEG_7111|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0.0,0.0,49.0
MEG_1162|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSCM,865.0,972.0,434.0
MEG_7060|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETC,19.0,0.0,0.0
MEG_20|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,90.0,14.0,0.0
MEG_1642|Drugs|Lipopeptides|Daptomycin-resistant_mutant|CDSA|RequiresSNPConfirmation,0.0,0.0,2.0
MEG_7859|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUC,3846.0,4565.0,3533.0
MEG_4338|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,98.0,0.0,0.0
MEG_2677|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,156.0,162.0,135.0
MEG_6508|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|SILR,221.0,0.0,137.0
MEG_915|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,47.0,430.0,351.0
MEG_975|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,126.0,0.0,0.0
MEG_7583|Drugs|Glycopeptides|VanC-type_resistance_protein|VANXYC,90.0,0.0,593.0
MEG_6106|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,14.0,8.0,2.0
MEG_7867|Metals|Zinc_resistance|Zinc_resistance_regulator|ZUR,2261.0,2710.0,2294.0
MEG_1300|Drugs|betalactams|Penicillin_binding_protein_regulator|BLAR,791.0,134.0,149.0
MEG_4339|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,224.0,0.0,62.0
MEG_3516|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|KPNO,4233.0,2757.0,2294.0
MEG_7184|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,75.0,140.0,115.0
MEG_2579|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRG,36.0,40.0,0.0
MEG_372|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|ABEM,35.0,0.0,0.0
MEG_5365|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_2606|Drugs|betalactams|Class_C_betalactamases|DHA,0.0,52.0,0.0
MEG_1364|Drugs|betalactams|Class_A_betalactamases|BLAZ,28.0,0.0,0.0
MEG_5391|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_4126|Metals|Nickel_resistance|Nickel_MFS_efflux_pumps|NCRCN,1207.0,232.0,334.0
MEG_6540|Biocides|Peroxide_resistance|peroxide_resistance_protein|SODA,2625.0,2853.0,2471.0
MEG_1326|Drugs|betalactams|Class_A_betalactamases|BLAZ,47.0,0.0,0.0
MEG_2081|Metals|Copper_resistance|Copper_resistance_regulator|COPZ,68.0,77.0,10.0
MEG_1698|Drugs|betalactams|Class_A_betalactamases|CFX,15.0,0.0,17.0
MEG_3140|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|GLPF,991.0,1374.0,1130.0
MEG_6133|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,1.0,0.0,0.0
MEG_1119|Drugs|Multi-drug_resistance|MDR_regulator|ARLS,146.0,137.0,36.0
MEG_2522|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,20.0,0.0,0.0
MEG_7321|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,8.0,23.0,4.0
MEG_3586|Drugs|Lipopeptides|Daptomycin-resistant_mutant|LIAFSR|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_373|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|ABEM,31.0,0.0,0.0
MEG_7862|Metals|Zinc_resistance|Zinc_resistance_regulator|ZRAR,7992.0,9114.0,7006.0
MEG_2551|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,45.0,0.0,0.0
MEG_1156|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,93.0,114.0,18.0
MEG_6932|Drugs|betalactams|Class_A_betalactamases|TEM,25.0,0.0,46.0
MEG_6502|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILC,557.0,829.0,0.0
MEG_45|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,142.0,0.0,0.0
MEG_7017|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,141.0,188.0,395.0
