gene_accession,cipdic0none_S2,cipdic0none_S1,cipdic0none_S3
MEG_3817|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,44.0,35.0,0.0
MEG_4355|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,205.0,414.0,97.0
MEG_692|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEJ,332.0,1156.0,0.0
MEG_2961|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_3253|Biocides|Acid_resistance|Acid_resistance_protein|HDEA,3014.0,2760.0,2483.0
MEG_6807|Drugs|betalactams|Class_A_betalactamases|TEM,78.0,0.0,0.0
MEG_8290|Drugs|betalactams|Mutant_porin_proteins|OMPK36|RequiresSNPConfirmation,2489.0,1944.0,1998.0
MEG_4012|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODC,5708.0,5453.0,4869.0
MEG_6617|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,25.0,101.0,51.0
MEG_1211|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR,1509.0,1327.0,1151.0
MEG_6167|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,101.0,12.0,0.0
MEG_8708|Drugs|betalactams|Class_A_betalactamases|TEM,35.0,0.0,0.0
MEG_8287|Drugs|betalactams|Mutant_porin_proteins|OMP36|RequiresSNPConfirmation,511.0,630.0,582.0
MEG_3077|Biocides|Acid_resistance|Acid_resistance_protein|GADA,57.0,143.0,74.0
MEG_1061|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,0.0,32.0,0.0
MEG_2691|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBC,2170.0,2148.0,1915.0
MEG_5367|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_7309|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,36.0,29.0,28.0
MEG_7835|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YIEF,4648.0,4374.0,3938.0
MEG_3591|Drugs|Lipopeptides|Daptomycin-resistant_mutant|LIAFSR|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_2608|Drugs|betalactams|Class_C_betalactamases|DHA,18.0,0.0,0.0
MEG_5373|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,601.0,1196.0,503.0
MEG_6777|Drugs|betalactams|Class_A_betalactamases|TEM,63.0,0.0,0.0
MEG_6145|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSA|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_7110|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0.0,0.0,74.0
MEG_2909|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|FIEF,7195.0,6761.0,6048.0
MEG_11|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,2.0,1.0,0.0
MEG_3201|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_3515|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|KPNF,419.0,532.0,214.0
MEG_8013|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,17.0,0.0,0.0
MEG_4198|Metals|Nickel_resistance|Nickel_resistance_protein|NIRD,0.0,16.0,0.0
MEG_20|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,18.0,30.0,0.0
MEG_3067|Drugs|Fusidic_acid|Ribosomal_zinc-binding_protein|FUSB,0.0,24.0,0.0
MEG_3238|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRB|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_1084|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,1399.0,217.0,151.0
MEG_2729|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRD,6058.0,5816.0,4959.0
MEG_7858|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUB,5066.0,4658.0,4478.0
MEG_8088|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,0.0,17.0,8.0
MEG_2630|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,0.0,87.0,76.0
MEG_3141|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|GLPF,4091.0,3984.0,3580.0
MEG_729|Drugs|betalactams|Penicillin_binding_protein|AMPH,8182.0,7989.0,7051.0
MEG_7859|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUC,5531.0,5096.0,4917.0
MEG_8077|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_pumps|EFRA,388.0,550.0,0.0
MEG_414|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRR|RequiresSNPConfirmation,27.0,9.0,5.0
MEG_1079|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,0.0,28.0,14.0
MEG_2706|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_pumps|EFRA,159.0,290.0,0.0
MEG_3076|Biocides|Acid_resistance|Acid_resistance_protein|GADA,11213.0,11553.0,10184.0
MEG_3992|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,4.0,5.0,2.0
MEG_7070|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETD,5836.0,86.0,49.0
MEG_6142|Drugs|Mycobacterium_tuberculosis-specific_Drug|Pyrazinamide-resistant_mutant|RPSA|RequiresSNPConfirmation,0.0,1.0,0.0
MEG_7104|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0.0,0.0,179.0
MEG_6934|Drugs|betalactams|Class_A_betalactamases|TEM,242.0,0.0,75.0
MEG_2120|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,2174.0,1250.0,1313.0
MEG_6925|Drugs|betalactams|Class_A_betalactamases|TEM,294.0,29.0,83.0
MEG_2704|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EFMA,67.0,0.0,0.0
MEG_8703|Drugs|betalactams|Class_A_betalactamases|TEM,10.0,0.0,0.0
MEG_689|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEI,0.0,136.0,0.0
MEG_3762|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTM,3391.0,3558.0,3145.0
MEG_5365|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_4324|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA,76.0,67.0,0.0
MEG_3175|Drugs|Lipopeptides|Daptomycin-resistant_mutant|GSHF|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_1568|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,125.0,31.0,0.0
MEG_6795|Drugs|betalactams|Class_A_betalactamases|TEM,57.0,0.0,20.0
MEG_943|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,13.0,0.0,0.0
MEG_4186|Drugs|Metronidazole|nim_nitroimidazole_reductase|NIMF,8.0,0.0,0.0
MEG_7363|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC,0.0,77.0,55.0
MEG_2646|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,29.0,6.0,21.0
MEG_2689|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBB,2890.0,2639.0,2697.0
MEG_1231|Metals|Copper_resistance|Copper_resistance_regulator|BHSA,2277.0,2236.0,2078.0
MEG_1246|Drugs|betalactams|Class_A_betalactamases|BLAA,45.0,290.0,0.0
MEG_411|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRR|RequiresSNPConfirmation,207.0,160.0,95.0
MEG_5817|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTS,3188.0,2968.0,2537.0
MEG_7101|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETL,30.0,0.0,97.0
MEG_4343|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,204.0,177.0,63.0
MEG_506|Drugs|betalactams|Class_C_betalactamases|ADC,0.0,87.0,0.0
MEG_6828|Drugs|betalactams|Class_A_betalactamases|TEM,73.0,0.0,10.0
MEG_7842|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_pumps|YOGI,12251.0,12285.0,10859.0
MEG_6961|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERZ,917.0,187.0,1091.0
MEG_7884|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRR|RequiresSNPConfirmation,187.0,205.0,87.0
MEG_682|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEF,0.0,178.0,0.0
MEG_2440|Metals|Copper_resistance|Copper_resistance_protein|CUEO,12200.0,11406.0,10467.0
MEG_399|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRA,8723.0,8573.0,8022.0
MEG_6634|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,17.0,69.0,52.0
MEG_6428|Drugs|betalactams|Class_A_betalactamases|SHV,128.0,165.0,56.0
MEG_400|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRA,1406.0,1666.0,640.0
MEG_6105|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_3232|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_2949|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,0.0,10.0,0.0
MEG_6130|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_7851|Metals|Zinc_resistance|Zinc_resistance_protein|ZITB,6482.0,6314.0,5579.0
MEG_4002|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODA,6926.0,6440.0,6051.0
MEG_2794|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,17.0,0.0,0.0
MEG_5787|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|PITA,16145.0,15650.0,13042.0
MEG_1044|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,34.0,31.0,0.0
MEG_6437|Drugs|betalactams|Class_A_betalactamases|SHV,0.0,10.0,0.0
MEG_2084|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORA,853.0,947.0,469.0
MEG_5896|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,30.0,0.0,0.0
MEG_3761|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTM,4847.0,5231.0,4664.0
MEG_3948|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|MGTA,12136.0,11890.0,10150.0
MEG_6501|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILC,1457.0,1211.0,1615.0
MEG_687|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEI,0.0,88.0,0.0
MEG_1648|Drugs|betalactams|Class_A_betalactamases|CEPA,23.0,0.0,0.0
MEG_137|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0.0,0.0,13.0
MEG_7038|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,808.0,0.0,0.0
MEG_3943|Drugs|Multi-drug_resistance|MDR_regulator|MGRA,0.0,83.0,0.0
MEG_2682|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,235.0,208.0,181.0
MEG_6023|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,0.0,0.0,28.0
MEG_4203|Biocides|Paraquat_resistance|Paraquat_resistance_protein|NMPC,670.0,837.0,536.0
MEG_1326|Drugs|betalactams|Class_A_betalactamases|BLAZ,0.0,36.0,0.0
MEG_2577|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRE,108.0,158.0,0.0
MEG_6877|Drugs|betalactams|Class_A_betalactamases|TEM,138.0,0.0,34.0
MEG_1058|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,488.0,71.0,29.0
MEG_4360|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,90.0,139.0,0.0
MEG_2450|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSC,3182.0,2937.0,2640.0
MEG_6683|Drugs|betalactams|Class_A_betalactamases|TEM,18.0,0.0,0.0
MEG_4283|Drugs|betalactams|Mutant_porin_proteins|OMP37,1589.0,1883.0,904.0
MEG_3865|Metals|Mercury_resistance|Mercury_resistance_regulator|MERD,13.0,144.0,45.0
MEG_4173|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKE,5722.0,5452.0,4705.0
MEG_4333|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA,92.0,155.0,66.0
MEG_8070|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRB|RequiresSNPConfirmation,0.0,70.0,0.0
MEG_2674|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,202.0,182.0,185.0
MEG_996|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,0.0,0.0,13.0
MEG_2493|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,23.0,0.0,0.0
MEG_8634|Drugs|Lipopeptides|Colistin-resistant_mutant|PMRAR|RequiresSNPConfirmation,5518.0,5114.0,4959.0
MEG_8456|Drugs|betalactams|Penicillin_binding_protein|PBP2|RequiresSNPConfirmation,0.0,236.0,0.0
MEG_7373|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC,0.0,313.0,225.0
MEG_6670|Drugs|betalactams|Class_A_betalactamases|TEM,53.0,0.0,0.0
MEG_5359|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_2517|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,7.0,51.0,34.0
MEG_6727|Drugs|betalactams|Class_A_betalactamases|TEM,51.0,0.0,0.0
MEG_6838|Drugs|betalactams|Class_A_betalactamases|TEM,47.0,0.0,0.0
MEG_7137|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0.0,0.0,105.0
MEG_7121|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0.0,0.0,120.0
MEG_7857|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUB,602.0,523.0,508.0
MEG_4362|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,0.0,106.0,0.0
MEG_4207|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|NORA,0.0,119.0,0.0
MEG_6678|Drugs|betalactams|Class_A_betalactamases|TEM,51.0,0.0,0.0
MEG_5400|Drugs|betalactams|Penicillin_binding_protein|PBP2,15307.0,14552.0,12958.0
MEG_1730|Drugs|Lipopeptides|Daptomycin-resistant_mutant|CLS|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_3254|Biocides|Acid_resistance|Acid_resistance_protein|HDEB,898.0,845.0,762.0
MEG_7037|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,542.0,0.0,0.0
MEG_5831|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACEDELTA1,0.0,0.0,5.0
MEG_5829|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACEDELTA1,17.0,28.0,7.0
MEG_7147|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0.0,0.0,29.0
MEG_3078|Biocides|Acid_resistance|Acid_resistance_protein|GADB,9116.0,7757.0,8048.0
MEG_1190|Drugs|Bacitracin|Undecaprenyl_pyrophosphate_phosphatase|BACA,5595.0,3926.0,4509.0
MEG_678|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEB,138.0,895.0,0.0
MEG_1040|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,0.0,9.0,0.0
MEG_4163|Metals|Sodium_resistance|Sodium_resistance_protein|NHAB,4957.0,4751.0,4440.0
MEG_6624|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,10.0,77.0,40.0
MEG_1229|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|BEXA,240.0,193.0,112.0
MEG_1276|Drugs|betalactams|Class_C_betalactamases|BLAEC,2237.0,3090.0,1189.0
MEG_7069|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETD,0.0,24.0,0.0
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,2.0,1.0,1.0
MEG_3830|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFE,145.0,55.0,99.0
MEG_2730|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRD,4730.0,4436.0,3882.0
MEG_6958|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERD,38.0,31.0,28.0
