gene_accession,cipmet0_S1,cipmet0none_S3,cipmet0none_S2,cipmet0_S2,cipmet0none_S1,cipmet0_S3
MEG_3642|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|LSA,0.0,149.0,0.0,60.0,0.0,0.0
MEG_5387|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,0.0,0.0
MEG_47|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,102.0,0.0,160.0,0.0,200.0,0.0
MEG_6621|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,0.0,166.0,114.0,26.0,85.0,45.0
MEG_3745|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTA,0.0,30.0,60.0,0.0,32.0,0.0
MEG_6878|Drugs|betalactams|Class_A_betalactamases|TEM,105.0,33.0,0.0,0.0,59.0,131.0
MEG_7303|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,2129.0,1976.0,1773.0,2871.0,1546.0,2038.0
MEG_1086|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,788.0,486.0,126.0,47.0,91.0,1201.0
MEG_1360|Drugs|betalactams|Class_A_betalactamases|BLAZ,0.0,0.0,15.0,0.0,0.0,0.0
MEG_7148|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0.0,0.0,32.0,0.0,0.0,115.0
MEG_6147|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSH|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,1.0,0.0
MEG_7496|Drugs|Glycopeptides|VanB-type_regulator|VANSB,0.0,0.0,32.0,0.0,0.0,0.0
MEG_4171|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKD,3281.0,5532.0,5629.0,2194.0,4069.0,4113.0
MEG_645|Drugs|betalactams|Class_C_betalactamases|ADC,0.0,0.0,0.0,0.0,140.0,0.0
MEG_2724|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRB,1893.0,3377.0,3490.0,1246.0,2383.0,2360.0
MEG_2116|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,235.0,837.0,1167.0,382.0,378.0,1396.0
MEG_6044|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|RAMA,19.0,91.0,108.0,0.0,31.0,15.0
MEG_4361|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,0.0,133.0,96.0,0.0,0.0,134.0
MEG_3244|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|GYRBA|RequiresSNPConfirmation,2.0,2.0,0.0,0.0,1.0,0.0
MEG_7811|Metals|Iron_resistance|Iron_resistance_protein|YBTP,2152.0,2359.0,3084.0,1388.0,6196.0,2757.0
MEG_5230|Drugs|betalactams|Class_D_betalactamases|OXA,0.0,0.0,0.0,0.0,72.0,0.0
MEG_2805|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,0.0,0.0,9.0,0.0,0.0,11.0
MEG_3762|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTM,2132.0,3718.0,3911.0,1528.0,2698.0,2640.0
MEG_3946|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|MGTA,0.0,1376.0,1578.0,0.0,0.0,0.0
MEG_4210|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|NORB,315.0,0.0,549.0,68.0,607.0,0.0
MEG_8080|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|EPTB,3011.0,6021.0,6785.0,2318.0,3703.0,5926.0
MEG_7047|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,368.0,0.0,0.0,0.0,0.0,434.0
MEG_304|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0.0,0.0,0.0,0.0,0.0,54.0
MEG_7138|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0.0,0.0,63.0,0.0,0.0,114.0
MEG_6629|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,16.0,169.0,77.0,28.0,93.0,59.0
MEG_7128|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0.0,0.0,43.0,32.0,0.0,205.0
MEG_2686|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,114.0,247.0,245.0,73.0,168.0,170.0
MEG_86|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0.0,0.0,14.0,0.0,0.0,0.0
MEG_1182|Biocides|Acid_resistance|Acid_resistance_protein|ASR,485.0,913.0,850.0,269.0,632.0,497.0
MEG_4325|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA,26.0,74.0,133.0,64.0,66.0,91.0
MEG_6891|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,0.0,0.0,0.0,38.0
MEG_2898|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|FETA,3184.0,5227.0,5394.0,1961.0,4099.0,3568.0
MEG_7373|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC,138.0,0.0,0.0,95.0,270.0,20.0
MEG_1003|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9,0.0,0.0,28.0,0.0,12.0,39.0
MEG_7855|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUA,1544.0,2720.0,2816.0,970.0,2020.0,1699.0
MEG_8072|Drugs|betalactams|Class_C_betalactamases|DHA,0.0,0.0,21.0,0.0,0.0,0.0
MEG_4120|Metals|Nickel_resistance|Nickel_MFS_efflux_pumps|NCRAN,609.0,1779.0,1677.0,592.0,347.0,620.0
MEG_1173|Metals|Arsenic_resistance|Arsenic_resistance_regulator|ARSR,2081.0,3173.0,3242.0,1249.0,2382.0,2163.0
MEG_4281|Drugs|betalactams|Mutant_porin_proteins|OMP36|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,0.0,0.0
MEG_7125|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0.0,0.0,44.0,0.0,0.0,112.0
MEG_2618|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,8.0,39.0,20.0,64.0,48.0,12.0
MEG_5355|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,0.0,0.0
MEG_7856|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUA,2917.0,5408.0,5483.0,1839.0,4024.0,3577.0
MEG_3143|Drugs|Fosfomycin|Fosfomycin_target_mutation|GLPT|RequiresSNPConfirmation,11.0,0.0,16.0,2.0,25.0,0.0
MEG_1589|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,0.0,9.0,39.0,7.0,23.0,0.0
MEG_914|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,0.0,0.0,0.0,597.0,0.0
MEG_409|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRF,7064.0,11196.0,12177.0,4551.0,8732.0,8298.0
MEG_6110|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,1.0,0.0,0.0,0.0,0.0,0.0
MEG_1367|Drugs|betalactams|Class_A_betalactamases|BLAZ,16.0,0.0,37.0,0.0,0.0,0.0
MEG_5359|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,0.0,0.0
MEG_8459|Drugs|betalactams|Penicillin_binding_protein|PBP4|RequiresSNPConfirmation,246.0,0.0,433.0,0.0,529.0,0.0
MEG_488|Drugs|betalactams|Class_C_betalactamases|ACT,0.0,0.0,42.0,0.0,0.0,0.0
MEG_1637|Drugs|betalactams|Class_A_betalactamases|CBLA,20.0,24.0,68.0,30.0,25.0,36.0
MEG_4326|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA,34.0,188.0,295.0,68.0,77.0,290.0
MEG_6883|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,13.0,0.0,12.0,0.0
MEG_7858|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUB,3117.0,5527.0,5627.0,1942.0,4386.0,3547.0
MEG_7867|Metals|Zinc_resistance|Zinc_resistance_regulator|ZUR,2158.0,3598.0,3643.0,1351.0,2543.0,2551.0
MEG_2451|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSF,1802.0,3114.0,3132.0,1069.0,2269.0,2086.0
MEG_2729|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRD,3692.0,6247.0,6380.0,2342.0,4513.0,4611.0
MEG_3168|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|GOLT,0.0,127.0,0.0,0.0,0.0,0.0
MEG_7045|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,551.0,0.0,0.0,0.0,0.0,757.0
MEG_7137|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0.0,0.0,0.0,0.0,0.0,177.0
MEG_7832|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|YGJH,4087.0,7188.0,7315.0,2553.0,5395.0,4942.0
MEG_6710|Drugs|betalactams|Class_A_betalactamases|TEM,24.0,14.0,0.0,0.0,17.0,34.0
MEG_2848|Drugs|MLS|23S_rRNA_methyltransferases|ERMT,18.0,0.0,0.0,0.0,0.0,169.0
MEG_802|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,0.0,8.0,0.0,0.0,0.0
MEG_1580|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,0.0,85.0,29.0,0.0,47.0,58.0
MEG_988|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,0.0,0.0,27.0,57.0,26.0,50.0
MEG_6949|Drugs|betalactams|Class_A_betalactamases|TEM,10.0,0.0,0.0,0.0,12.0,27.0
MEG_6636|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,15.0,163.0,94.0,26.0,90.0,42.0
MEG_1040|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,0.0,0.0,46.0,0.0,0.0,11.0
MEG_1177|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSRM,23.0,0.0,65.0,0.0,28.0,0.0
MEG_6505|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILF,48.0,479.0,371.0,137.0,249.0,265.0
MEG_5332|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,2.0,1.0,1.0,6.0,2.0
MEG_7868|Metals|Zinc_resistance|Zinc_resistance_regulator|ZUR,949.0,1722.0,1771.0,630.0,1181.0,1160.0
MEG_3081|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADW,3831.0,6199.0,6297.0,2403.0,4666.0,4553.0
MEG_6682|Drugs|betalactams|Class_A_betalactamases|TEM,30.0,11.0,0.0,0.0,0.0,16.0
MEG_7107|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0.0,0.0,0.0,0.0,0.0,130.0
MEG_1211|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR,819.0,1666.0,1620.0,552.0,1173.0,1004.0
MEG_1399|Drugs|betalactams|Class_A_betalactamases|BLAZ,0.0,0.0,0.0,20.0,0.0,0.0
MEG_3886|Metals|Mercury_resistance|Mercury_resistance_regulator|MERR1,26.0,114.0,24.0,67.0,84.0,69.0
MEG_6679|Drugs|betalactams|Class_A_betalactamases|TEM,6.0,0.0,0.0,0.0,0.0,0.0
MEG_6652|Metals|Copper_resistance|Copper_resistance_protein|TCRB,1081.0,2533.0,997.0,3471.0,717.0,0.0
MEG_7361|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC,32.0,0.0,0.0,27.0,0.0,0.0
MEG_2894|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FECD,901.0,687.0,735.0,310.0,673.0,866.0
MEG_6779|Drugs|betalactams|Class_A_betalactamases|TEM,12.0,0.0,0.0,0.0,0.0,22.0
MEG_2734|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EMRR,2879.0,5081.0,5079.0,1864.0,3562.0,3444.0
MEG_4029|Drugs|MLS|Macrolide_phosphotransferases|MPHA,0.0,388.0,20.0,0.0,0.0,17.0
MEG_379|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|ABES,0.0,0.0,0.0,0.0,40.0,0.0
MEG_7561|Drugs|Glycopeptides|VanB-type_resistance_protein|VANXB,0.0,0.0,39.0,0.0,0.0,0.0
MEG_5829|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACEDELTA1,0.0,0.0,9.0,0.0,0.0,13.0
MEG_6745|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,0.0,0.0,0.0,15.0
MEG_3255|Biocides|Acid_resistance|Acid_resistance_protein|HDEB,1333.0,2147.0,2289.0,771.0,1567.0,1399.0
MEG_2687|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,125.0,224.0,249.0,94.0,192.0,168.0
MEG_5|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,2.0,0.0,1.0,1.0,3.0,1.0
MEG_6162|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,0.0,45.0,18.0,52.0,21.0,0.0
MEG_6959|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERE,120.0,189.0,273.0,130.0,119.0,135.0
MEG_1166|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSDM,385.0,2942.0,2658.0,1454.0,1177.0,1138.0
MEG_6791|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,13.0,0.0,0.0,0.0,13.0
MEG_6014|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRD,0.0,0.0,15.0,0.0,0.0,0.0
MEG_786|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,0.0,0.0,12.0,0.0,0.0
MEG_7806|Drugs|Lipopeptides|Daptomycin-resistant_mutant|WALK|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,0.0,0.0
MEG_20|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,30.0,161.0,54.0,0.0,40.0,57.0
MEG_4126|Metals|Nickel_resistance|Nickel_MFS_efflux_pumps|NCRCN,399.0,1330.0,1300.0,448.0,244.0,637.0
MEG_8378|Drugs|betalactams|Class_D_betalactamases|OXA,0.0,20.0,0.0,0.0,0.0,0.0
MEG_1231|Metals|Copper_resistance|Copper_resistance_regulator|BHSA,1494.0,2678.0,2617.0,964.0,1893.0,1778.0
MEG_6752|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,0.0,0.0,0.0,19.0
MEG_2081|Metals|Copper_resistance|Copper_resistance_regulator|COPZ,76.0,0.0,84.0,11.0,157.0,0.0
MEG_45|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,0.0,17.0,0.0,0.0,0.0,0.0
MEG_2675|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,124.0,249.0,236.0,72.0,178.0,158.0
MEG_5783|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_regulator|PHOB|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,0.0,0.0
MEG_7866|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ZUPT,1394.0,2234.0,2379.0,809.0,1827.0,1535.0
MEG_3242|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRB|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,0.0,0.0
MEG_5772|Biocides|Peroxide_resistance|peroxide_resistance_regulator|PERR,139.0,0.0,144.0,23.0,248.0,0.0
MEG_2988|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,0.0,0.0,0.0,0.0,11.0,0.0
MEG_8273|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|NORC,358.0,0.0,531.0,0.0,665.0,0.0
MEG_6686|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,10.0,0.0,0.0,14.0
MEG_6864|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,0.0,0.0,0.0,13.0
MEG_8678|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RPSL|RequiresSNPConfirmation,2267.0,4297.0,4621.0,1725.0,2860.0,3199.0
MEG_7105|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,36.0,0.0,63.0,31.0,49.0,147.0
MEG_1028|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,14.0,155.0,66.0,0.0,48.0,65.0
MEG_2091|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORC,1609.0,3148.0,3121.0,1151.0,2128.0,2376.0
MEG_7833|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YHCN,1537.0,2454.0,2512.0,933.0,1772.0,1797.0
MEG_7541|Drugs|Glycopeptides|VanB-type_accessory_protein|VANWB,0.0,0.0,9.0,0.0,0.0,0.0
MEG_1000|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,0.0,13.0,30.0,35.0,0.0,0.0
MEG_2640|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,0.0,16.0,0.0,26.0,30.0,0.0
MEG_3201|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,0.0,0.0
MEG_785|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,0.0,7.0,24.0,0.0,0.0
MEG_3606|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUA,46.0,54.0,47.0,36.0,12.0,34.0
MEG_8448|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,779.0,0.0
MEG_1689|Drugs|betalactams|Class_A_betalactamases|CFX,0.0,11.0,37.0,0.0,0.0,0.0
MEG_2678|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,146.0,247.0,229.0,88.0,146.0,150.0
MEG_4195|Metals|Nickel_resistance|Nickel_resistance_protein|NIRA,0.0,0.0,326.0,0.0,0.0,0.0
MEG_2721|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRA,1870.0,3144.0,3123.0,1125.0,2271.0,2138.0
MEG_2683|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,103.0,239.0,252.0,68.0,148.0,143.0
MEG_1209|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR,1806.0,3350.0,3184.0,1071.0,2245.0,2085.0
MEG_3883|Metals|Mercury_resistance|Mercury_resistance_regulator|MERR,205.0,68.0,284.0,155.0,38.0,564.0
MEG_1394|Drugs|betalactams|Class_A_betalactamases|BLAZ,0.0,0.0,0.0,26.0,0.0,0.0
MEG_7096|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETL,0.0,123.0,21.0,0.0,0.0,249.0
MEG_6617|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,24.0,221.0,111.0,44.0,143.0,58.0
MEG_6577|Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|SUGE,1423.0,2333.0,2252.0,843.0,1702.0,1668.0
MEG_1151|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM,2172.0,10323.0,10319.0,5084.0,4670.0,4118.0
MEG_3861|Metals|Mercury_resistance|Mercury_resistance_regulator|MERD,55.0,53.0,98.0,79.0,39.0,313.0
MEG_3591|Drugs|Lipopeptides|Daptomycin-resistant_mutant|LIAFSR|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,0.0,0.0
MEG_3622|Biocides|Acetate_resistance|Acetate_resistance_protein|LPDT,10064.0,18482.0,18685.0,6597.0,13418.0,12331.0
MEG_6680|Drugs|betalactams|Class_A_betalactamases|TEM,38.0,17.0,0.0,0.0,22.0,27.0
MEG_884|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,0.0,0.0,0.0,26.0,0.0
MEG_2644|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,0.0,54.0,16.0,68.0,0.0,0.0
MEG_3758|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|MDTK,2739.0,4664.0,4523.0,1550.0,3588.0,2857.0
MEG_963|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,0.0,0.0,19.0,35.0,0.0
MEG_6774|Drugs|betalactams|Class_A_betalactamases|TEM,17.0,0.0,0.0,0.0,0.0,0.0
MEG_913|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,0.0,0.0,0.0,231.0,0.0
MEG_689|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEI,0.0,0.0,25.0,0.0,263.0,0.0
MEG_5787|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|PITA,10072.0,17002.0,17167.0,6309.0,12671.0,12652.0
MEG_1039|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,0.0,0.0,50.0,0.0,0.0,0.0
MEG_8456|Drugs|betalactams|Penicillin_binding_protein|PBP2|RequiresSNPConfirmation,513.0,0.0,617.0,456.0,960.0,0.0
MEG_3076|Biocides|Acid_resistance|Acid_resistance_protein|GADA,7136.0,12961.0,12697.0,4717.0,9612.0,8192.0
MEG_7142|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,49.0,0.0,47.0,0.0,42.0,146.0
MEG_401|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB,14069.0,25180.0,26072.0,9122.0,18731.0,18462.0
MEG_1278|Drugs|betalactams|Class_C_betalactamases|BLAEC,307.0,423.0,330.0,127.0,635.0,495.0
MEG_4285|Drugs|betalactams|Mutant_porin_proteins|OMPD,250.0,882.0,1141.0,1648.0,484.0,473.0
MEG_7835|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YIEF,2722.0,5059.0,4920.0,1774.0,3538.0,3519.0
MEG_2510|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0.0,0.0,0.0,0.0,10.0,0.0
MEG_7145|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,71.0,0.0,80.0,64.0,90.0,201.0
MEG_6697|Drugs|betalactams|Class_A_betalactamases|TEM,21.0,0.0,0.0,0.0,8.0,32.0
MEG_3460|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|KMRA,604.0,1802.0,2369.0,659.0,856.0,2711.0
MEG_3134|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|GESC,0.0,77.0,0.0,0.0,0.0,0.0
MEG_6493|Drugs|betalactams|Class_A_betalactamases|SHV,0.0,0.0,0.0,0.0,0.0,44.0
MEG_3187|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,3.0,91.0,2.0,0.0,5.0,8.0
MEG_1095|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,575.0,317.0,78.0,34.0,78.0,811.0
