gene_accession,cipbeta0none_S2,cipbeta0none_S1,cipbeta0none_S3
MEG_3233|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_8288|Drugs|betalactams|Mutant_porin_proteins|OMPA,3689.0,5811.0,4720.0
MEG_8273|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|NORC,706.0,775.0,309.0
MEG_6082|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ROBA,3472.0,5403.0,4304.0
MEG_2968|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,148.0,45.0,0.0
MEG_7025|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,235.0,77.0,33.0
MEG_3175|Drugs|Lipopeptides|Daptomycin-resistant_mutant|GSHF|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_7097|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETL,131.0,309.0,42.0
MEG_1410|Drugs|betalactams|Class_A_betalactamases|BLAZ,87.0,74.0,0.0
MEG_6510|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|SILS,1563.0,1034.0,810.0
MEG_1578|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,295.0,416.0,0.0
MEG_4002|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODA,3313.0,5723.0,4279.0
MEG_6883|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,48.0,0.0
MEG_1327|Drugs|betalactams|Class_A_betalactamases|BLAZ,58.0,0.0,0.0
MEG_7853|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ZNTA,10053.0,15604.0,13103.0
MEG_2447|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSB,4664.0,7405.0,6182.0
MEG_8289|Drugs|Multi-drug_resistance|MDR_mutant_porin_proteins|OMPK|RequiresSNPConfirmation,215.0,501.0,387.0
MEG_2024|Metals|Copper_resistance|Copper_resistance_protein|COPA,104.0,180.0,162.0
MEG_8100|Drugs|Fusidic_acid|Fusidic_acid-resistant_mutation|FUSA|RequiresSNPConfirmation,2479.0,2266.0,2933.0
MEG_3948|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|MGTA,6158.0,9585.0,7844.0
MEG_402|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB,82.0,147.0,40.0
MEG_4071|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRC,0.0,0.0,82.0
MEG_6106|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,68.0,29.0,27.0
MEG_728|Drugs|betalactams|Class_C_betalactamases|AMPC,760.0,1076.0,641.0
MEG_6141|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|RPOS,4307.0,6925.0,5434.0
MEG_3077|Biocides|Acid_resistance|Acid_resistance_protein|GADA,373.0,79.0,165.0
MEG_7105|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0.0,36.0,0.0
MEG_2734|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EMRR,2383.0,3901.0,2955.0
MEG_6503|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILE,781.0,900.0,664.0
MEG_3873|Metals|Mercury_resistance|Mercury_resistance_protein|MERP,11.0,19.0,40.0
MEG_4061|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|MSBA,6489.0,10040.0,7744.0
MEG_7831|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YGIW,1767.0,2936.0,2290.0
MEG_7048|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,0.0,0.0,228.0
MEG_2529|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,75.0,72.0,56.0
MEG_1028|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,270.0,348.0,0.0
MEG_6955|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERB,0.0,51.0,0.0
MEG_6049|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|RCNB,1271.0,2109.0,1613.0
MEG_7138|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,71.0,0.0,0.0
MEG_5423|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|PCOE,626.0,872.0,609.0
MEG_7858|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUB,2419.0,4047.0,3077.0
MEG_3767|Drugs|betalactams|Penicillin_binding_protein|MECA,0.0,48.0,0.0
MEG_7038|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,0.0,0.0,232.0
MEG_2446|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSA,12348.0,18662.0,15085.0
MEG_6654|Metals|Copper_resistance|Copper_resistance_protein|TCRZ,7.0,123.0,0.0
MEG_1046|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,122.0,212.0,291.0
MEG_3752|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTF,11650.0,18458.0,15742.0
MEG_5362|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_3071|Drugs|Fusidic_acid|Fusidic_acid-resistant_mutation|FUSE|RequiresSNPConfirmation,5.0,0.0,0.0
MEG_6048|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|RCNA,2956.0,4287.0,3599.0
MEG_6861|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,36.0,0.0
MEG_8461|Drugs|betalactams|Penicillin_binding_protein|PBP5|RequiresSNPConfirmation,0.0,0.0,119.0
MEG_6093|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0.0,0.0,722.0
MEG_3255|Biocides|Acid_resistance|Acid_resistance_protein|HDEB,941.0,1607.0,1355.0
MEG_3763|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTN,4726.0,7458.0,6270.0
MEG_2686|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,114.0,200.0,129.0
MEG_2088|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORB,2307.0,3900.0,2824.0
MEG_1287|Drugs|betalactams|Penicillin_binding_protein_regulator|BLAI,580.0,1020.0,102.0
MEG_5367|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_7855|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUA,1351.0,2092.0,1596.0
MEG_2430|Drugs|betalactams|Class_A_betalactamases|CTX,6603.0,6140.0,10249.0
MEG_6618|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,144.0,137.0,39.0
MEG_2677|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,96.0,166.0,138.0
MEG_4343|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,69.0,135.0,0.0
MEG_7060|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETC,0.0,19.0,0.0
MEG_6161|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,42.0,74.0,41.0
MEG_3512|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|KPN,287.0,623.0,606.0
MEG_410|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRF,5992.0,9494.0,7453.0
MEG_7312|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,315.0,508.0,377.0
MEG_6962|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERZ,0.0,124.0,20.0
MEG_6960|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERW,16.0,84.0,9.0
MEG_6850|Drugs|betalactams|Class_A_betalactamases|TEM,26.0,25.0,0.0
MEG_8087|Biocides|Aldehyde_resistance|Aldehyde_degradation|FORMA,0.0,1917.0,0.0
MEG_2451|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSF,1498.0,2345.0,1726.0
MEG_3289|Biocides|Peroxide_resistance|Peroxide_resistance_stress_protein|IBPB,1364.0,2184.0,1842.0
MEG_3081|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADW,2953.0,5118.0,4172.0
MEG_5321|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|OXYRKP,2923.0,4357.0,4103.0
MEG_1082|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH4,0.0,0.0,120.0
MEG_6909|Drugs|betalactams|Class_A_betalactamases|TEM,492.0,466.0,473.0
MEG_6578|Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|SUGE,58.0,108.0,89.0
MEG_791|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,10.0,12.0,0.0
MEG_1302|Drugs|betalactams|Penicillin_binding_protein_regulator|BLAR,486.0,632.0,0.0
MEG_6621|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,98.0,139.0,0.0
MEG_972|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,24.0,16.0
MEG_7581|Drugs|Glycopeptides|VanC-type_resistance_protein|VANXYC,0.0,41.0,44.0
MEG_7309|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,24.0,33.0,6.0
MEG_3083|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADX,3396.0,5882.0,5067.0
MEG_1300|Drugs|betalactams|Penicillin_binding_protein_regulator|BLAR,468.0,983.0,0.0
MEG_4163|Metals|Sodium_resistance|Sodium_resistance_protein|NHAB,2678.0,4145.0,3117.0
MEG_4094|Drugs|Fosfomycin|Fosfomycin_target_mutation|MURA|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_6701|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,16.0
MEG_7032|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,99.0,39.0,25.0
MEG_2443|Metals|Copper_resistance|Copper_resistance_regulator|CUER,1890.0,2853.0,2339.0
MEG_2633|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,0.0,5.0,0.0
MEG_5418|Metals|Copper_resistance|Copper_resistance_protein|PCOB,1264.0,1597.0,1061.0
MEG_6686|Drugs|betalactams|Class_A_betalactamases|TEM,42.0,37.0,0.0
MEG_7819|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|YDEO,1964.0,4224.0,3055.0
MEG_1060|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,405.0,409.0,204.0
MEG_3755|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTH,4398.0,6928.0,5306.0
MEG_3187|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,1.0,18.0,3.0
MEG_3018|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSD,0.0,8.0,0.0
MEG_3080|Biocides|Acid_resistance|Acid_resistance_regulator|GADE,2262.0,3642.0,2999.0
MEG_1085|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,252.0,279.0,454.0
MEG_2733|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRK,1236.0,2493.0,1786.0
MEG_1155|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,0.0,0.0,36.0
MEG_1592|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,153.0,178.0,0.0
MEG_2455|Metals|Copper_resistance|Copper_resistance_protein|CUTC,1093.0,1790.0,1326.0
MEG_4174|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKE,792.0,1190.0,1026.0
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_3751|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTE,4727.0,7524.0,6217.0
MEG_8070|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRB|RequiresSNPConfirmation,240.0,299.0,122.0
MEG_2942|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,55.0,101.0,24.0
MEG_1058|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,79.0,82.0,168.0
MEG_381|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|ABUO,0.0,166.0,0.0
MEG_6629|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,103.0,124.0,13.0
MEG_4012|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODC,3050.0,4770.0,3620.0
MEG_1174|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSRM,455.0,48.0,47.0
MEG_785|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,17.0,16.0,0.0
MEG_44|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,396.0,588.0,0.0
MEG_2454|Metals|Copper_resistance|Copper_resistance_protein|CUTA,1516.0,2552.0,1913.0
MEG_2116|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,247.0,409.0,426.0
MEG_3833|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|MEPA,45.0,129.0,71.0
MEG_7333|Drugs|Glycopeptides|VanA-type_resistance_protein|VAN|RequiresSNPConfirmation,0.0,11.0,12.0
MEG_729|Drugs|betalactams|Penicillin_binding_protein|AMPH,4356.0,6724.0,5327.0
MEG_2732|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRK,2147.0,4007.0,3168.0
MEG_3144|Drugs|Fosfomycin|Fosfomycin_target_mutation|GLPT|RequiresSNPConfirmation,389.0,567.0,559.0
MEG_7857|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUB,276.0,535.0,400.0
MEG_405|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD,2342.0,3836.0,2899.0
MEG_2577|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRE,46.0,42.0,44.0
MEG_4332|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA,0.0,83.0,34.0
MEG_7856|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUA,2491.0,3922.0,2854.0
MEG_6803|Drugs|betalactams|Class_A_betalactamases|TEM,12.0,0.0,0.0
MEG_6900|Drugs|betalactams|Class_A_betalactamases|TEM,66.0,74.0,100.0
MEG_6926|Drugs|betalactams|Class_A_betalactamases|TEM,55.0,53.0,0.0
MEG_2450|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSC,1407.0,2520.0,1874.0
MEG_2498|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,37.0,29.0,24.0
MEG_1299|Drugs|betalactams|Penicillin_binding_protein_regulator|BLAR,1111.0,1683.0,350.0
MEG_6582|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,97.0,107.0,15.0
MEG_4197|Metals|Nickel_resistance|Nickel_resistance_protein|NIRC,0.0,24.0,0.0
MEG_7263|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TOLC,2006.0,3519.0,2704.0
MEG_5374|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_2637|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,47.0,50.0,32.0
MEG_5382|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_6704|Drugs|betalactams|Class_A_betalactamases|TEM,34.0,0.0,0.0
MEG_7883|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB|RequiresSNPConfirmation,667.0,1248.0,1101.0
MEG_4029|Drugs|MLS|Macrolide_phosphotransferases|MPHA,0.0,31.0,40.0
MEG_2509|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0.0,9.0,0.0
MEG_5424|Metals|Copper_resistance|Copper_resistance_regulator|PCOR,1042.0,1276.0,817.0
MEG_5346|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_6770|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,21.0,0.0
MEG_1385|Drugs|betalactams|Class_A_betalactamases|BLAZ,34.0,0.0,0.0
MEG_401|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB,11847.0,18876.0,14925.0
MEG_3589|Drugs|Lipopeptides|Daptomycin-resistant_mutant|LIAFSR|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_6742|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,14.0
MEG_8456|Drugs|betalactams|Penicillin_binding_protein|PBP2|RequiresSNPConfirmation,1195.0,1188.0,538.0
MEG_4339|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,0.0,158.0,0.0
MEG_6502|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILC,1286.0,919.0,777.0
MEG_7360|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC,0.0,50.0,26.0
MEG_678|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEB,0.0,191.0,0.0
MEG_1116|Drugs|Multi-drug_resistance|MDR_regulator|ARLR,42.0,41.0,0.0
MEG_7861|Metals|Zinc_resistance|Zinc_resistance_regulator|ZRAR,790.0,1301.0,0.0
MEG_733|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|AMVA,0.0,82.0,0.0
MEG_2964|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,16.0,0.0,0.0
MEG_6653|Metals|Copper_resistance|Copper_resistance_protein|TCRY,211.0,0.0,420.0
MEG_7301|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,1.0,1.0,0.0
MEG_2689|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBB,1446.0,2366.0,1767.0
MEG_7313|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,13.0,39.0,33.0
MEG_684|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEG,0.0,397.0,0.0
MEG_7135|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,49.0,0.0,0.0
MEG_2870|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS,7994.0,17495.0,12675.0
MEG_6846|Drugs|betalactams|Class_A_betalactamases|TEM,88.0,96.0,0.0
MEG_3627|Drugs|Lipopeptides|Colistin-resistant_mutant|LPXC|RequiresSNPConfirmation,0.0,1.0,0.0
MEG_2682|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,126.0,160.0,174.0
MEG_2730|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRD,2354.0,3756.0,3150.0
MEG_1731|Drugs|Lipopeptides|Daptomycin-resistant_mutant|CLS|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_3857|Metals|Mercury_resistance|Mercury_resistance_protein|MERC,151.0,385.0,211.0
MEG_6551|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_resistance_regulator|SOXS,1641.0,2700.0,2115.0
MEG_3830|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFE,57.0,59.0,80.0
MEG_2643|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,51.0,71.0,60.0
MEG_2873|Biocides|Phenolic_compound_resistance|Triclosan-resistant_mutation|FABG|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_5422|Metals|Copper_resistance|Copper_resistance_protein|PCOD,1187.0,1630.0,1043.0
MEG_884|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,23.0,0.0,14.0
MEG_2085|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORA,1443.0,2432.0,2021.0
MEG_6508|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|SILR,154.0,272.0,164.0
MEG_4170|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKC,4024.0,6369.0,5129.0
MEG_5782|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_regulator|PHOB|RequiresSNPConfirmation,162.0,227.0,272.0
MEG_3957|Drugs|betalactams|Class_C_betalactamases|MIR,0.0,28.0,0.0
MEG_5815|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTC,4426.0,6924.0,5877.0
MEG_961|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,16.0,26.0,24.0
MEG_7868|Metals|Zinc_resistance|Zinc_resistance_regulator|ZUR,766.0,1260.0,1048.0
MEG_701|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ADEN,0.0,33.0,0.0
MEG_6814|Drugs|betalactams|Class_A_betalactamases|TEM,22.0,0.0,0.0
MEG_5333|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,1.0,2.0,0.0
MEG_1030|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,0.0,47.0,0.0
MEG_887|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,15.0,9.0
MEG_6577|Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|SUGE,1220.0,1942.0,1537.0
MEG_3599|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|LMRS,686.0,875.0,264.0
MEG_1019|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,495.0,623.0,991.0
MEG_3212|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0.0,0.0,1.0
MEG_5420|Metals|Copper_resistance|Copper_resistance_protein|PCOC,692.0,829.0,600.0
MEG_3861|Metals|Mercury_resistance|Mercury_resistance_regulator|MERD,47.0,66.0,49.0
MEG_3896|Metals|Mercury_resistance|Mercury_resistance_protein|MERT,239.0,304.0,169.0
MEG_3832|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|MEPA,577.0,482.0,185.0
MEG_6540|Biocides|Peroxide_resistance|peroxide_resistance_protein|SODA,1727.0,2829.0,2317.0
MEG_2602|Drugs|betalactams|Class_C_betalactamases|DHA,27.0,0.0,0.0
MEG_7183|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,220.0,132.0,256.0
MEG_3001|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,14.0,63.0,34.0
MEG_2495|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,33.0,60.0,53.0
MEG_6126|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0.0,0.0,1.0
